,image,response
0,abandoned_ship_s_000213.png,55.714285714285715
1,abandoned_ship_s_000260.png,84.91428571428571
2,abandoned_ship_s_000380.png,84.0
3,abandoned_ship_s_000635.png,89.57142857142857
4,abandoned_ship_s_000735.png,77.80555555555556
5,abandoned_ship_s_001201.png,63.91428571428571
6,accentor_s_000005.png,88.34285714285714
7,accentor_s_000098.png,83.6
8,accentor_s_000102.png,87.68571428571428
9,accentor_s_000103.png,74.65714285714286
10,accentor_s_000105.png,78.52777777777777
11,accentor_s_000125.png,90.31428571428572
12,accentor_s_000131.png,88.71428571428571
13,accentor_s_000152.png,83.11428571428571
14,accentor_s_000154.png,86.25714285714285
15,accentor_s_000166.png,81.28571428571429
16,accentor_s_000180.png,88.48571428571428
17,accentor_s_000194.png,91.25714285714285
18,accentor_s_000200.png,87.08571428571429
19,accentor_s_000293.png,75.5
20,accentor_s_000325.png,85.42857142857143
21,accentor_s_000377.png,84.17142857142858
22,accentor_s_000478.png,81.62857142857143
23,accentor_s_000612.png,90.82857142857142
24,accentor_s_000668.png,88.45714285714286
25,accentor_s_000774.png,87.05714285714286
26,accentor_s_000821.png,71.05714285714286
27,accentor_s_000824.png,82.37142857142857
28,accentor_s_000825.png,65.31428571428572
29,accentor_s_000921.png,73.45714285714286
30,accentor_s_000952.png,90.19444444444444
31,accentor_s_000993.png,89.25714285714285
32,accentor_s_001031.png,83.91428571428571
33,accentor_s_001063.png,92.02857142857142
34,accentor_s_001070.png,71.48571428571428
35,accentor_s_001086.png,83.14285714285714
36,accentor_s_001088.png,87.66666666666667
37,accentor_s_001092.png,92.68571428571428
38,accentor_s_001112.png,82.57142857142857
39,accentor_s_001124.png,91.61538461538461
40,accentor_s_001189.png,90.05714285714286
41,accentor_s_001197.png,92.11111111111111
42,accentor_s_001208.png,87.42857142857143
43,aepyornis_s_000432.png,75.4
44,aerial_ladder_truck_s_000002.png,81.51428571428572
45,aerial_ladder_truck_s_000004.png,84.42857142857143
46,aerial_ladder_truck_s_000128.png,79.4
47,aerial_ladder_truck_s_000162.png,81.31428571428572
48,aerial_ladder_truck_s_000164.png,87.17142857142858
49,aerial_ladder_truck_s_000188.png,82.37142857142857
50,aerial_ladder_truck_s_000191.png,75.82857142857142
51,aerial_ladder_truck_s_000214.png,80.54285714285714
